0.12762E+04 0.31537E+01 0.00000E+01 126800 0 0 10190 0.79870E+01 0.00000E+01 0.12762E+04 0.00000E+01 0.00000E+01 0
1 1262.9 29.784 1.0034 3625.5 1262.9
2 1278.3 16.46 0.7747 3868.2 1278.3
3 1259.8 11.154 0.75333 3065.2 1259.8
4 1283.8 30.275 1.0033 3840.8 1283.8
5 1267.6 16.03 0.76084 3959.7 1267.6
6 1280.7 10.968 0.72867 3800.2 1280.7
7 1234.9 29.167 1.0049 3447.8 1234.9
8 1291.6 16.052 0.74776 4246.7 1291.6
9 1278.0 10.982 0.73116 2990.4 1278.0
10 1221.1 28.883 1.0063 3344.4 1221.1
11 1280.5 16.719 0.78557 4516.9 1280.5
12 1277.7 11.036 0.73495 3167.8 1277.7
13 1288.9 30.266 0.99901 3894.4 1288.9
14 1262.4 16.81 0.8012 4459.0 1262.4
15 1276.9 10.981 0.73172 3287.6 1276.9
16 1243.4 29.295 1.0024 3167.9 1243.4
17 1290.1 16.068 0.74935 4244.0 1290.1
18 1293.4 11.051 0.727 3434.2 1293.4
19 1245.3 29.365 1.0032 3680.6 1245.3
20 1269.3 16.899 0.80105 4596.3 1269.3
21 1284.4 10.942 0.72483 3188.3 1284.4
22 1282.3 30.175 1.0011 3258.3 1282.3
23 1278.7 16.089 0.75706 4286.2 1278.7
24 1274.8 11.13 0.74283 3684.3 1274.8
25 1322.3 31.02 0.99807 3987.7 1322.3
26 1283.8 19.164 0.89815 37322.0 1283.8
27 1263.6 11.609 0.78173 3222.9 1263.6
28 1230.8 29.097 1.0057 3758.8 1230.8
29 1285.0 16.978 0.79496 4012.7 1285.0
30 1279.1 11.178 0.74358 3323.8 1279.1
<lo_statistics>
<cumulated_time> 4.501703 </cumulated_time>
</lo_statistics>
